"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 16 17:03:38 IST 2024","Fri Feb 16 17:03:44 IST 2024","5554","WebSuite","Electron Tests","sanity.TodoListElectron","sanity.TodoListElectron","test01_addAndVerifyNewTask","Test01: Add And Verify New Task","This Test adds a new task and verifies it in the list of tasks"
"passed","Fri Feb 16 17:03:20 IST 2024","Fri Feb 16 17:03:21 IST 2024","1464","WebSuite","API Tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test02_AddTeamAndVerify","Test 02: Add Team And verify",""
"passed","Fri Feb 16 17:04:18 IST 2024","Fri Feb 16 17:04:39 IST 2024","20570","WebSuite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_searchUsers","Test07: search users","Test Description: search users in a table using DDT"
"passed","Fri Feb 16 17:04:39 IST 2024","Fri Feb 16 17:04:46 IST 2024","6515","WebSuite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_searchUsers","Test07: search users","Test Description: search users in a table using DDT"
"passed","Fri Feb 16 17:03:53 IST 2024","Fri Feb 16 17:03:56 IST 2024","3911","WebSuite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test02_verifyDefaultsUsers","Test02: Verify default users","Test Description: Verify the default users in Grafana"
"passed","Fri Feb 16 17:03:22 IST 2024","Fri Feb 16 17:03:22 IST 2024","549","WebSuite","API Tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test03_UpdateTeamAndVerify","Test 03: Update Team And verify",""
"passed","Fri Feb 16 17:03:09 IST 2024","Fri Feb 16 17:03:20 IST 2024","10539","WebSuite","API Tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test01_VerifyTeam","Test 01: Get Team From Grafana",""
"unknown","Fri Feb 16 17:03:39 IST 2024","Fri Feb 16 17:03:39 IST 2024","3","WebSuite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test06_verifyAvatarIcon","Test06: Verify Avatar Icon","Test Description: Verify Avatar Icon in Grafana Using Sikuli tool"
"passed","Fri Feb 16 17:03:22 IST 2024","Fri Feb 16 17:03:23 IST 2024","985","WebSuite","API Tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test04_DeleteTeamAndVerify","Test 04: Delete Team And verify",""
"passed","Fri Feb 16 17:03:44 IST 2024","Fri Feb 16 17:03:46 IST 2024","1665","WebSuite","Electron Tests","sanity.TodoListElectron","sanity.TodoListElectron","test02_addAndVerifyNewTasks","Test02: Add And Verify New Task","This Test adds a new task and verifies it in the list of tasks"
"passed","Fri Feb 16 17:03:48 IST 2024","Fri Feb 16 17:03:52 IST 2024","3862","WebSuite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test01_verifyHeader","Test01: Login to Grafana","Test Description: Login to Grafana Web Application and verified the main header"
"passed","Fri Feb 16 17:03:57 IST 2024","Fri Feb 16 17:04:18 IST 2024","21085","WebSuite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_searchUsers","Test07: search users","Test Description: search users in a table using DDT"
